"IDRSSD"	FDIC Certificate Number	OCC Charter Number	OTS Docket Number	Primary ABA Routing Number	Financial Institution Name	Financial Institution Address	Financial Institution City	Financial Institution State	Financial Institution Zip Code	Financial Institution Filing Type	Last Date/Time Submission Updated On
377908	19943	0	0	11301390	CENTURY BANK AND TRUST COMPANY	102 FELLSWAY WEST 	SOMERVILLE	MA	02145	041	2015-01-30T16:07:14
378044	5619	0	0	82905136	COMMUNITY STATE BANK	208 WEST FOURTH STREET 	BRADLEY	AR	71826	041	2015-01-23T15:00:42
378110	389	0	0	44112488	PEOPLES BANK, THE	103 EAST WIGGIN STREET 	GAMBIER	OH	43022	041	2015-01-02T11:32:42
378558	5130	13078	0	91900096	PIONEER NATIONAL BANK OF DULUTH, THE	331 NORTH CENTRAL AVENUE 	DULUTH	MN	55807	041	2015-01-29T17:38:20
378642	10040	3755	0	74904158	CENTRAL NATIONAL BANK AND TRUST COMPANY, THE	2 SOUTH PERRY STREET 	ATTICA	IN	47918	041	2015-01-06T14:10:40
378651	3191	11700	0	112319524	FIRST NATIONAL BANK	1500 NORTH FABENS ROAD 	FABENS	TX	79838	041	2015-01-28T17:12:21
378950	10606	0	0	81512355	BANK OF URBANA, THE	109 NORTH MAIN STREET 	URBANA	MO	65767	041	2015-01-13T09:09:54
379050	16561	0	0	91216081	STATE BANK OF EASTON	50 MAIN STREET 	EASTON	MN	56025	041	2015-01-05T11:25:42
379153	3190	12739	0	111914878	FIRST NATIONAL BANK OF EVANT, THE	115 SOUTH MEMORY LANE 	EVANT	TX	76525	041	2015-01-28T13:36:17
379171	30817	705964	5964	301071712	BANKLIBERTY	16 WEST FRANKLIN STREET 	LIBERTY	MO	64068	041	2015-01-27T11:22:07
379470	26450	0	5824	211370451	CANTON CO-OPERATIVE BANK	671 WASHINGTON STREET 	CANTON	MA	02021	041	2015-01-26T15:13:09
379649	11252	21165	0	82903057	FIRST NATIONAL BANK OF IZARD COUNTY	2184 ARKANSAS 56 HIGHWAY 	CALICO ROCK	AR	72519	041	2015-01-16T16:27:52
379920	7888	249	0	43318092	FIRST NATIONAL BANK OF PENNSYLVANIA	166 MAIN STREET 	GREENVILLE	PA	16125	041	2017-09-20T15:11:14
380346	10500	0	0	73916532	FARMERS SAVINGS BANK	3542 168TH STREET 	WEVER	IA	52658	041	2015-01-15T11:08:24
380458	26906	0	0	114917335	TEXAS REGIONAL BANK	2019 SOUTH 77 SUNSHINE STRIP 	HARLINGEN	TX	78550	041	2015-02-17T17:12:23
380533	1786	0	0	71114255	LONGVIEW BANK	102 SOUTH EAST AVENUE 	OGDEN	IL	61859	041	2015-01-29T15:56:46
380654	14994	0	0	91804406	STATE BANK OF ARCADIA	131 WEST MAIN STREET 	ARCADIA	WI	54612	041	2015-01-26T09:59:25
380841	1421	0	0	81505388	CBC BANK	901 BUSINESS HIGHWAY 61 NORTH 	BOWLING GREEN	MO	63334	041	2015-01-27T17:58:07
380878	29495	703551	3551	241271931	VAN WERT FEDERAL SAVINGS BANK	976 S SHANNON ST 	VAN WERT	OH	45891	041	2015-01-29T16:05:04
380944	15228	0	0	75901972	BANK OF KAUKAUNA, THE	264 WEST WISCONSIN AVENUE 	KAUKAUNA	WI	54130	041	2015-01-28T10:44:41
381026	13802	0	0	42208174	TWIN VALLEY BANK, THE	2 EAST DAYTON STREET 	WEST ALEXANDRIA	OH	45381	041	2015-02-12T16:40:21
381343	4533	0	0	101901396	CITIZENS BANK AND TRUST COMPANY	515 WASHINGTON STREET 	CHILLICOTHE	MO	64601	041	2015-01-22T09:45:48
381754	12249	0	0	104112849	FARMERS STATE BANK, SPENCER	101 NORTH THAYER STREET 	SPENCER	NE	68777	041	2015-04-03T09:30:53
381839	6103	0	9074	64102601	CITIZENS BANK	HWY 25 & BROADWAY 	HARTSVILLE	TN	37074	041	2015-01-27T17:39:47
381932	16246	713248	13248	61211171	COMMERCIAL BANKING COMPANY	3462 NORTH VALDOSTA ROAD 	VALDOSTA	GA	31602	041	2015-02-09T09:26:44
381950	5074	3886	0	91108539	FIRST NATIONAL BANK OF SAINT IGNACE, THE	132 NORTH STATE STREET 	SAINT IGNACE	MI	49781	041	2015-01-27T15:54:23
382050	1095	0	0	91101280	CENTRAL SAVINGS BANK	511 BINGHAM AVENUE 	SAULT SAINTE MARIE	MI	49783	041	2015-01-27T16:43:49
382069	24961	0	0	114912709	INTERNATIONAL BANK OF COMMERCE	908 NORTH US HIGHWAY 83 	ZAPATA	TX	78076	041	2015-01-29T16:34:26
382256	5478	0	0	104902033	STANTON STATE BANK	924 IVY STREET 	STANTON	NE	68779	041	2015-02-06T15:38:14
382274	28722	702228	2228	274970500	KENTLAND FEDERAL SAVINGS AND LOAN ASSOCIATION	116 NORTH 3RD STREET 	KENTLAND	IN	47951	041	2015-01-02T08:25:04
382443	14392	0	0	73906160	FARMERS TRUST AND SAVINGS BANK	510 ELM STREET 	WILLIAMSBURG	IA	52361	041	2015-01-23T18:11:10
382537	51	0	14338	62203874	BANK OF VERNON, THE	44825 HWY 17 	VERNON	AL	35592	041	2015-01-29T18:42:26
382649	15565	0	0	81203208	FIRST SOUTHERN BANK	300 TOWER SQUARE 	MARION	IL	62959	041	2016-01-19T18:25:40
382658	22895	0	0	101903763	PUTNAM COUNTY STATE BANK	1522 MAIN 	UNIONVILLE	MO	63565	041	2015-01-14T12:59:02
382667	23301	0	0	122038251	WILSHIRE BANK	3200 WILSHIRE BOULEVARD 	LOS ANGELES	CA	90010	041	2015-01-30T18:54:32
382742	1008	0	17106	72407741	OSB COMMUNITY BANK	417 SOUTH MAIN STREET 	BROOKLYN	MI	49230	041	2015-01-30T17:09:06
382854	15347	0	0	81518045	SECURITY BANK OF PULASKI COUNTY	601 MARSHALL DRIVE 	SAINT ROBERT	MO	65584	041	2015-01-29T15:40:02
384018	24920	0	0	26007443	WOORI AMERICA BANK	1250 BROADWAY 	NEW YORK	NY	10001	041	2015-01-30T18:05:30
384278	31313	706707	6707	263184488	FIRST FEDERAL BANK OF FLORIDA	4705 WEST U.S. HIGHWAY 90 	LAKE CITY	FL	32055	041	2015-01-28T08:44:19
384335	20972	0	0	62202118	HORIZON BANK	3736 MAIN STREET WEST 	FYFFE	AL	35971	041	2015-01-26T16:38:09
384353	10635	0	0	104908723	BANK OF STEINAUER	215 MAIN STREET 	STEINAUER	NE	68441	041	2015-01-14T15:04:12
384652	20727	15980	0	111904503	TOWN NORTH BANK, NATIONAL ASSOCIATION	14185 DALLAS PARKWAY SUITE 200	DALLAS	TX	75254	041	2015-01-26T15:02:29
384830	16417	0	0	65404544	CITIZENS BANK & TRUST COMPANY	222 NORTH NEW HAMPSHIRE 	COVINGTON	LA	70433	041	2015-01-29T11:11:40
385350	12349	0	0	91804723	COMMUNITY BANK OF CAMERON	101 WEST MAIN STREET 	CAMERON	WI	54822	041	2015-01-21T14:08:32
385471	31999	707715	7715	304972038	MADISON COUNTY BANK	111 WEST THIRD STREET 	MADISON	NE	68748	041	2015-01-22T17:11:46
385547	11463	0	0	101205445	CITIZENS-FARMERS BANK OF COLE CAMP, THE	121 EAST MAIN STREET 	COLE CAMP	MO	65325	041	2015-02-04T16:52:59
385686	34058	0	12260	221283347	LUSITANIA SAVINGS BANK	107 PULASKI STREET 	NEWARK	NJ	07105	041	2015-01-30T10:37:46
386049	16347	14532	0	101918240	FIRST NATIONAL BANK OF CLINTON	107 SOUTH SECOND STREET 	CLINTON	MO	64735	041	2015-01-26T17:01:21
386142	14790	0	0	75903006	UNION STATE BANK	223 ELLIS STREET 	KEWAUNEE	WI	54216	041	2015-01-27T14:43:57
386432	20429	0	0	62201847	LIBERTY BANK	40956 HIGHWAY 75 	GERALDINE	AL	35974	041	2015-01-26T17:04:15
386450	14312	0	0	104905616	FIVE POINTS BANK OF HASTINGS	2815 OSBORNE DRIVE WEST 	HASTINGS	NE	68901	041	2015-03-17T10:08:29
386731	861	0	14010	62203670	STATE BANK & TRUST	1945 U S HIGHWAY 43 	WINFIELD	AL	35594	041	2015-01-27T13:49:01
386825	6732	13847	0	43205875	CITIZENS NATIONAL BANK OF WOODSFIELD, THE	143 S MAIN ST 	WOODSFIELD	OH	43793	041	2015-01-16T15:52:00
386852	25268	0	0	101904911	FIRST CENTRAL BANK	401 NORTH MCGUIRE 	WARRENSBURG	MO	64093	041	2015-01-28T16:17:27
387055	1778	0	0	102100662	STATE BANK, THE	124 COLORADO AVENUE 	LA JUNTA	CO	81050	041	2015-01-08T17:46:32
387671	29537	703619	3619	302373118	FIRST FEDERAL SAVINGS BANK	46 WEST BRUNDAGE STREET 	SHERIDAN	WY	82801	041	2015-01-27T18:28:59
388155	13905	14005	0	103100878	FIRST TEXOMA NATIONAL BANK	220 WEST MAIN STREET 	DURANT	OK	74701	041	2015-01-28T17:17:43
388258	18094	0	0	101104588	MARQUETTE FARMERS STATE BANK OF MARQUETTE KANSAS	205 NORTH WASHINGTON 	MARQUETTE	KS	67464	041	2015-01-23T17:04:24
388557	10641	0	0	104908859	TRI VALLEY BANK	223 MAIN STREET 	TALMAGE	NE	68448	041	2015-01-26T12:37:25
388744	17622	0	12071	72405442	ALDEN STATE BANK	10564 COY STREET 	ALDEN	MI	49612	041	2015-01-30T09:14:44
388753	10571	0	0	91210249	FARMERS AND MERCHANTS STATE BANK OF ALPHA	210 NORTH MAIN STREET 	ALPHA	MN	56111	041	2015-01-30T14:54:12
388874	30388	0	5267	302170340	GUNNISON SAVINGS AND LOAN ASSOCIATION	303 NORTH MAIN STREET 	GUNNISON	CO	81230	041	2015-01-29T16:20:24
388940	3817	7379	0	71126955	FIRST NATIONAL BANK, THE	511 LAKE LAND BOULEVARD 	MATTOON	IL	61938	041	2015-01-28T18:01:29
389059	15774	0	0	104102875	TILDEN BANK, THE	100 E. 2ND STREET 	TILDEN	NE	68781	041	2015-10-27T15:39:45
389358	11907	0	0	111320899	SECURITY STATE BANK	AVENUE 'A' & 5TH STREETS 	FARWELL	TX	79325	041	2015-05-04T12:36:15
389376	30395	705275	5275	304972232	TECUMSEH FEDERAL BANK	160 NORTH 4TH STREET 	TECUMSEH	NE	68450	041	2015-01-30T16:03:50
389826	9440	0	0	44108078	PATASKALA BANKING COMPANY, THE	354 S MAIN ST 	PATASKALA	OH	43062	041	2015-01-29T15:06:02
390336	47	0	16141	62201999	TRADERS & FARMERS BANK	819 20TH STREET 	HALEYVILLE	AL	35565	041	2015-02-24T15:10:13
390372	28780	702349	2349	252070299	ARUNDEL FEDERAL SAVINGS BANK	655 CRAIN HIGHWAY SOUTH 	GLEN BURNIE	MD	21061	041	2015-07-07T13:13:22
390840	14722	0	14358	72404320	UNION BANK	933 FOURTH AVENUE 	LAKE ODESSA	MI	48849	041	2015-01-23T11:00:28
391418	8122	0	0	42105882	FIRST & PEOPLES BANK AND TRUST COMPANY	1001 DIEDERICH 	RUSSELL	KY	41169	041	2015-01-23T12:20:10
391557	21255	0	0	103101767	LAKESIDE BANK OF SALINA	103 WEST FERRY 	SALINA	OK	74365	041	2015-02-20T15:02:38
391575	29566	703676	3676	286371663	UNITED FIDELITY BANK, FSB	18 NORTH WEST FOURTH STREET 	EVANSVILLE	IN	47708	041	2017-06-21T12:39:11
391959	14281	0	0	104904277	FIRST BANK OF UTICA	785 D STREET 	UTICA	NE	68456	041	2015-01-27T11:00:55
391977	28788	0	2365	231271284	STURDY SAVINGS BANK	9417 3RD AVENUE 	STONE HARBOR	NJ	08247	041	2015-01-27T12:02:17
392152	8108	0	0	101109538	NEW CENTURY BANK	1211 28TH STREET 	BELLEVILLE	KS	66935	041	2015-01-30T17:05:12
392255	5087	6813	0	91204080	FIRST NATIONAL BANK	31 CENTRAL STREET EAST 	BAGLEY	MN	56621	041	2015-01-12T15:11:18
392778	30428	0	5322	231270366	CENTURY SAVINGS BANK	1376 W. SHERMAN AVENUE 	VINELAND	NJ	08360	041	2015-01-30T08:04:44
393252	3197	7045	0	111308358	FIRST NATIONAL BANK OF FLOYDADA, THE	124 S. MAIN 	FLOYDADA	TX	792352736	041	2015-01-26T11:56:21
393355	1418	0	0	101205050	BANK OF WESTON	18255 HWY 45 NORTH 	WESTON	MO	64098	041	2015-01-21T16:18:50
393850	10179	0	0	91906508	NORTH AMERICAN STATE BANK	321 WASHBURN AVENUE 	BELGRADE	MN	56312	041	2015-01-30T13:28:28
393953	19603	15593	0	113100570	HOMETOWN BANK, NATIONAL ASSOCIATION	1801 45TH ST 	GALVESTON	TX	77550	041	2015-01-30T15:52:14
394156	4196	9987	0	103103435	SNB BANK, NATIONAL ASSOCIATION	503 SOUTH MAIN STREET 	SHATTUCK	OK	73858	041	2015-01-22T17:28:58
394259	5835	0	0	101102768	FIRST STATE BANK, THE	105 WEST MAIN STREET 	NORTON	KS	67654	041	2015-01-23T14:44:44
395238	873	0	14036	61100606	SYNOVUS BANK	1148 BROADWAY 	COLUMBUS	GA	31901	041	2016-01-04T13:25:05
395274	32393	0	0	255072537	CARROLL COMMUNITY BANK	1321 LIBERTY ROAD 	SYKESVILLE	MD	21784	041	2015-01-28T16:18:29
396057	10741	0	0	91805683	INDEPENDENCE STATE BANK	23942 SENTY DRIVE 	INDEPENDENCE	WI	54747	041	2016-01-04T14:48:37
396244	26703	0	0	83000726	RIVER CITY BANK, INC.	500 SOUTH SIXTH STREET 	LOUISVILLE	KY	40202	041	2015-07-27T13:12:58
396253	25738	18430	0	103103451	FIRST NATIONAL BANK AND TRUST COMPANY	130 EAST MACARTHUR 	SHAWNEE	OK	74804	041	2015-01-30T11:38:24
396356	13697	0	0	101109745	OLPE STATE BANK	202 WESTPHALIA 	OLPE	KS	66865	041	2015-01-27T11:02:25
396954	13006	0	0	112321318	PECOS COUNTY STATE BANK, THE	500 N. MAIN 	FORT STOCKTON	TX	797355697	041	2015-01-14T11:04:06
397456	17913	14842	0	112323387	FIRST NATIONAL BANK OF FORT STOCKTON	1000 WEST DICKINSON BOULEVARD 	FORT STOCKTON	TX	79735	041	2015-01-30T09:05:06
397531	903	0	0	71003405	AMALGAMATED BANK OF CHICAGO	ONE WEST MONROE 	CHICAGO	IL	60603	041	2015-01-29T17:05:22
397540	3864	1950	0	82900319	FIRST NATIONAL BANK OF FORT SMITH, THE	602 GARRISON AVENUE 	FORT SMITH	AR	72901	041	2015-01-28T12:53:57
397559	10643	0	0	104110113	SECURITY STATE BANK	624 MAIN STREET 	ANSLEY	NE	68814	041	2015-01-30T15:53:52
397755	22319	0	0	81511631	LEGACY BANK & TRUST COMPANY	175 JOHNSTOWN DRIVE 	ROGERSVILLE	MO	65742	041	2015-01-12T14:07:04
397858	16908	0	0	103109772	SPIRO STATE BANK	1008 W BROADWAY STREET 	SPIRO	OK	74959	041	2015-01-21T14:29:20
398051	5377	0	0	104901911	FARMERS AND MERCHANTS BANK OF ASHLAND	1501 SILVER STREET 	ASHLAND	NE	68003	041	2015-01-13T12:06:58
398248	16757	0	0	74903544	CAMPBELL & FETTER BANK	126 SOUTH ORCHARD STREET 	KENDALLVILLE	IN	46755	041	2015-01-30T10:53:06
398350	4201	0	0	103101437	BANK SNB	608 SOUTH MAIN STREET 	STILLWATER	OK	74074	041	2015-03-17T16:04:11
398631	17880	0	17384	63106501	CITIZENS STATE BANK	2000 SOUTH BYRON BUTLER PARKWAY 	PERRY	FL	32348	041	2015-10-30T14:19:40
398668	23472	24526	0	122038691	BANK OF NEW YORK MELLON TRUST COMPANY, NATIONAL ASSOCIATION, THE	400 SOUTH HOPE STREET, SUITE 400 	LOS ANGELES	CA	90071	041	2015-01-30T13:28:08
398837	8231	18178	9508	65301744	COPIAH BANK, NATIONAL ASSOCIATION	101 CALDWELL DRIVE 	HAZLEHURST	MS	39083	041	2015-01-29T11:06:31
399357	11261	0	0	102104341	MCCLAVE STATE BANK	101 EAST FIRST STREET 	MC CLAVE	CO	81057	041	2015-01-16T13:20:50
399517	13876	0	0	31306278	CNB BANK	1 SOUTH SECOND STREET 	CLEARFIELD	PA	16830	041	2015-05-13T15:20:41
399731	8532	0	0	65201750	BANK OF ERATH	105 WEST EDWARDS STREET 	ERATH	LA	70533	041	2019-06-14T10:34:02
399973	29645	703812	3812	271173368	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF CENTRAL ILLINOIS	200 NORTH MORGAN 	SHELBYVILLE	IL	62565	041	2015-01-29T15:32:16
400057	16162	0	0	81511754	FIRST STATE BANK OF PURDY	KAY AVENUE 	PURDY	MO	65734	041	2015-01-26T14:18:05
400141	2759	0	0	83901087	FNB BANK, INC.	101 EAST BROADWAY 	MAYFIELD	KY	42066	041	2015-02-11T10:22:17
400365	24603	17862	0	114912220	FIRST COMMERCIAL BANK, NATIONAL ASSOCIATION	1336 EAST COURT STREET 	SEGUIN	TX	78155	041	2015-02-27T13:26:07
400552	16325	0	0	104913365	WINSIDE STATE BANK	411 MAIN STREET 	WINSIDE	NE	68790	041	2015-01-20T11:49:44
400767	22669	0	0	124201565	NEVADA BANK AND TRUST COMPANY	210 FRONT STREET 	CALIENTE	NV	89008	041	2015-01-12T19:26:44
400945	5636	0	0	82902692	BANK OF GRAVETT	211 EAST MAIN STREET 	GRAVETTE	AR	72736	041	2015-02-16T16:22:33
401072	28860	0	2505	302170476	CENTURY SAVINGS AND LOAN ASSOCIATION	233 EAST MAIN STREET 	TRINIDAD	CO	81082	041	2015-01-13T16:57:12
401447	15810	0	0	82901813	FARMERS BANK	210 NORTH MAIN STREET 	HAMBURG	AR	71646	041	2015-12-18T12:01:02
401559	3977	12877	0	91408462	DNB NATIONAL BANK	305 4TH STREET WEST 	CLEAR LAKE	SD	57226	041	2015-01-30T12:56:04
401755	25703	0	0	103112073	BANK OF THE WEST, THE	101 SOUTH MAIN STREET 	THOMAS	OK	73669	041	2015-01-22T15:49:42
401906	19532	0	10566	211274476	SKOWHEGAN SAVINGS BANK	13 ELM STREET 	SKOWHEGAN	ME	04976	041	2015-04-30T14:08:49
401951	8197	0	0	91205869	STATE BANK OF CEYLON	104 W. MAIN ST. 	CEYLON	MN	56121	041	2015-04-28T13:44:16
402275	29656	703835	3835	211073473	FIRST FEDERAL SAVINGS BANK OF BOSTON	19 SCHOOL STREET 	BOSTON	MA	02108	041	2015-01-30T16:02:50
402462	5525	0	0	111304051	FIRST BANK & TRUST	201 NORTH WASHINGTON STREET 	SEYMOUR	TX	763802123	041	2015-01-29T11:11:59
402846	234	0	0	73920683	POCAHONTAS STATE BANK	233 NORTH MAIN 	POCAHONTAS	IA	50574	041	2015-02-05T14:01:43
402873	28703	0	2186	242272887	VERSAILLES SAVINGS AND LOAN COMPANY, THE	10413 KLEY ROAD 	VERSAILLES	OH	45380	041	2015-01-28T10:21:27
403067	25644	18358	0	121040651	TRANS PACIFIC NATIONAL BANK	88 KEARNY STREET, SUITE 1750 	SAN FRANCISCO	CA	94108	041	2015-01-30T15:39:00
403106	22221	0	10909	21206249	SUSSEX BANK	100 ENTERPRISE DRIVE SUITE 700 	ROCKAWAY	NJ	07866	041	2015-01-28T15:15:57
403151	5496	0	0	104900349	CORNERSTONE BANK	529 NORTH LINCOLN AVENUE 	YORK	NE	68467	041	2015-01-28T10:01:03
403179	28405	0	1528	325170848	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF PORT ANGELES	105 WEST EIGHTH STREET 	PORT ANGELES	WA	98362	041	2015-01-28T16:23:21
403254	13986	8004	0	102101441	COLORADO NATIONAL BANK	600 WEST 8TH 	PALISADE	CO	81526	041	2015-01-28T14:02:15
403357	10559	0	0	91206884	FIRST STATE BANK OF CLEARBROOK	123 MAIN STREET SOUTH 	CLEARBROOK	MN	56634	041	2015-01-09T12:48:20
403656	18145	0	0	91409351	STATE BANK OF EAGLE BUTTE	124 MAIN STREET 	EAGLE BUTTE	SD	57625	041	2015-01-16T13:07:14
403870	29675	703870	3870	271173724	IROQUOIS FEDERAL SAVINGS AND LOAN ASSOCIATION	201 EAST CHERRY STREET 	WATSEKA	IL	60970	041	2015-04-10T10:47:32
403937	10857	0	0	71120320	BUFFALO PRAIRIE STATE BANK	20228 183RD AVENUE WEST 	BUFFALO PRAIRIE	IL	61237	041	2015-01-23T10:20:40
403946	19608	0	0	75909945	PARK BANK, THE	1801 GREENWAY CROSS 	MADISON	WI	53713	041	2015-04-02T11:54:38
404653	11934	0	0	113113923	GRAPELAND STATE BANK	122 SOUTH MAIN STREET 	GRAPELAND	TX	75844	041	2015-01-28T12:14:09
404943	12417	0	0	73919270	TRI-VALLEY BANK	104 MAIN STREET 	RANDOLPH	IA	51649	041	2015-01-29T16:26:34
406022	5873	0	12844	55002150	WOODSBORO BANK	5 N. MAIN STREET 	WOODSBORO	MD	21798	041	2015-01-28T10:11:43
406059	21329	16226	0	111900549	NATIONAL BANK OF TEXAS AT FORT WORTH, THE	2535 N.E. 28TH 	FORT WORTH	TX	76106	041	2016-08-01T11:33:55
406666	16866	0	0	111322664	WEST TEXAS STATE BANK	1901 26TH STREET 	SNYDER	TX	795492520	041	2015-07-14T11:11:49
406778	31381	0	6842	264271293	SECURITY FEDERAL BANK	632 EAST ELK AVENUE 	ELIZABETHTON	TN	37643	041	2015-04-21T11:02:47
406974	22578	0	0	124302503	BRIGHTON BANK	7101 SOUTH HIGHLAND DRIVE 	SALT LAKE CITY	UT	84121	041	2015-02-03T19:17:05
407168	1218	0	0	111317844	FIRST STATE BANK	1 N.E. COURT PL 	SPEARMAN	TX	790812323	041	2015-01-29T17:30:26
407506	18198	0	8452	211174178	ION BANK	251 CHURCH STREET BOX 370	NAUGATUCK	CT	06770	041	2015-01-29T10:12:43
407645	9263	14369	0	71916042	STILLMAN BANCCORP, N.A.	101 EAST MAIN STREET 	STILLMAN VALLEY	IL	61084	041	2015-01-29T15:19:36
407850	12293	0	0	91407942	FARMERS STATE BANK	102 WEST MAIN STREET 	HOSMER	SD	57448	041	2015-01-14T14:53:52
408147	3741	13226	0	71109684	PRAIRIE NATIONAL BANK	110 EAST MAIN STREET 	STEWARDSON	IL	62463	041	2015-02-13T10:13:35
408307	90146	0	14766	211370998	ATHOL SAVINGS BANK	444 MAIN STREET 	ATHOL	MA	01331	041	2015-01-26T15:03:41
408642	23537	0	0	75912479	BANKERS' BANK	7700 MINERAL POINT ROAD 	MADISON	WI	53717	041	2015-04-10T12:23:38
408875	31390	706859	6859	263184815	AXIOM BANK	258 SOUTHHALL LANE 	MAITLAND	FL	32751	041	2015-01-30T15:58:12
409265	15460	0	0	111305571	SPUR SECURITY BANK	120 W. HARRIS 	SPUR	TX	793702326	041	2015-01-14T10:50:02
410159	18483	0	0	91409458	ANDES STATE BANK	213 MAIN 	LAKE ANDES	SD	57356	041	2015-01-05T15:29:42
410560	16695	0	0	111308633	FIRST STATE BANK	302 NORTH MAIN 	STRATFORD	TX	79084	041	2015-04-23T17:29:40
410748	18171	0	0	81023019	BANK OF O'FALLON	901 SOUTH LINCOLN AVENUE 	O'FALLON	IL	62269	041	2015-01-20T20:58:22
410917	2725	11544	0	42101446	CITIZENS NATIONAL BANK OF SOMERSET, THE	44 PUBLIC SQUARE 	SOMERSET	KY	42501	041	2015-04-09T09:14:58
410944	8758	0	0	73921048	CITIZENS BANK	500 WEST MAIN STREET 	SAC CITY	IA	50583	041	2015-01-26T12:41:49
411053	1916	0	0	91904283	STATE BANK IN EDEN VALLEY	359 STATE STREET NORTH 	EDEN VALLEY	MN	55329	041	2015-01-30T12:42:40
411062	5538	9813	0	111307252	FIRST NATIONAL BANK OF STERLING CITY, THE	4TH AND MAIN STREETS 	STERLING CITY	TX	76951	041	2015-02-05T15:31:43
411174	31409	706902	6902	242170442	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION	211 WEST MAIN STREET 	MOREHEAD	KY	40351	041	2015-01-28T12:20:23
411231	16386	0	14591	62105723	BRANTLEY BANK & TRUST COMPANY	9402 NORTH MAIN ST 	BRANTLEY	AL	36009	041	2015-01-21T17:05:10
411240	3827	11780	0	81915075	OLD EXCHANGE NATIONAL BANK OF OKAWVILLE, THE	110 EAST WALNUT STREET 	OKAWVILLE	IL	62271	041	2015-01-28T16:53:49
411473	32367	708190	8190	255071444	SEVERN SAVINGS BANK, FSB	200 WESTGATE CIRCLE 	ANNAPOLIS	MD	21401	041	2015-03-18T15:56:29
411512	7461	0	0	31315269	CENTRIC BANK	4320 LINGLESTOWN ROAD 	HARRISBURG	PA	17112	041	2015-01-23T18:15:00
411549	16394	0	0	71110424	TABLE GROVE STATE BANK	121 SOUTH BROADWAY 	TABLE GROVE	IL	614820215	041	2015-01-23T12:15:18
411576	30585	0	5592	275971142	MAYVILLE SAVINGS BANK	200 SOUTH MAIN STREET 	MAYVILLE	WI	53050	041	2015-01-20T16:38:12
411624	6700	9859	0	42211572	SOMERVILLE NATIONAL BANK, THE	197 SOUTH MAIN ST. 	SOMERVILLE	OH	45064	041	2015-01-26T17:27:21
411651	13662	0	0	104102095	FARMERS AND MERCHANTS STATE BANK, BLOOMFIELD, NEBRASKA	103 NORTH BROADWAY 	BLOOMFIELD	NE	68718	041	2015-02-05T12:47:51
412153	8322	0	0	104110919	NEBRASKA STATE BANK AND TRUST COMPANY	945 SOUTH D STREET 	BROKEN BOW	NE	68822	041	2015-02-05T14:17:29
412452	4217	0	0	103105488	COMMUNITY BANK OF OKLAHOMA	101 WEST HIGHWAY 62 	VERDEN	OK	73092	041	2015-01-12T17:48:16
412555	4766	0	0	101102784	SJN BANK OF KANSAS	116 E 3RD AVE 	SAINT JOHN	KS	67576	041	2015-01-21T16:17:58
412667	18780	0	0	111301436	SUNDOWN STATE BANK	501 SOUTH SLAUGHTER AVENUE 	SUNDOWN	TX	79372	041	2015-01-26T14:49:21
412751	23220	16892	0	113008465	WOODFOREST NATIONAL BANK	1330 LAKE ROBBINS DRIVE 	THE WOODLANDS	TX	77380	041	2015-01-30T17:06:26
412845	14567	14217	0	81204126	FIRST NATIONAL BANK IN OLNEY	101 EAST MAIN STREET 	OLNEY	IL	62450	041	2015-01-29T10:15:11
412872	28478	701669	1669	281371613	FARMERS & MECHANICS FEDERAL SAVINGS AND LOAN ASSOCIATION	225 EAST MAIN STREET 	BLOOMFIELD	IN	47424	041	2015-01-23T17:30:08
413141	17438	14740	11072	72412435	FIRST NATIONAL BANK OF AMERICA	241 EAST SAGINAW STREET 	EAST LANSING	MI	48823	041	2015-01-30T10:01:06
413208	57890	24522	0	21001088	HSBC BANK USA, NATIONAL ASSOCIATION	1800 TYSONS BOULEVARD, SUITE 50 	MCLEAN	VA	22102	031	2017-10-03T15:29:45
413347	10437	0	0	81220508	FIRST STATE BANK OF OLMSTED	185 NORTH FRONT STREET 	OLMSTED	IL	62970	041	2015-01-08T12:49:50
413543	18356	0	0	73922322	CITIZENS STATE BANK	808 3RD AVENUE 	SHELDON	IA	512011547	041	2015-02-10T15:02:47
413646	3747	13682	0	71109082	FIRST NEIGHBOR BANK, NATIONAL ASSOCIATION	201 NORTH MERIDIAN STREET 	TOLEDO	IL	62468	041	2015-01-15T15:19:12
413673	30595	705608	5608	281573013	F&M BANK AND TRUST COMPANY	505 BROADWAY 	HANNIBAL	MO	63401	041	2015-01-29T12:07:08
413730	12408	0	0	71108669	HARDWARE STATE BANK	102 WEST STATE STREET 	LOVINGTON	IL	61937	041	2015-01-21T12:00:50
413758	13692	0	0	104106716	BRUNSWICK STATE BANK	226 SECOND STREET 	BRUNSWICK	NE	68720	041	2015-01-26T16:16:45
413851	9003	0	0	91402264	MENNO STATE BANK	105 S. 5TH ST. 	MENNO	SD	57045	041	2015-01-12T14:29:22
414102	9831	0	0	22309611	ALDEN STATE BANK	13216 BROADWAY 	ALDEN	NY	14004	041	2015-01-29T13:44:32
