"IDRSSD"	RCFD0010	RCFD1651	RCFD1754	RCFD1773	RCFD2170	RCFD2221	RCFD3123	RCFD3128	RCFD3210	RCFD3411	RCFD3429	RCFD3433	RCFD3545	RCFD3792	RCFD3809	RCFD3812	RCFD3821	RCFD3833	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5320	RCFD5327	RCFD5334	RCFD5339	RCFD5340	RCFD5369	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFD8764	RCFD8766	RCFD8767	RCFD8769	RCFD8770	RCFD8771	RCFD8772	RCFD8773	RCFD8774	RCFD8775	RCFD8776	RCFD8777	RCFD8778	RCFD8779	RCFDA000	RCFDA001	RCFDA002	RCFDA167	RCFDA221	RCFDA222	RCFDA223	RCFDA250	RCFDB503	RCFDB504	RCFDB505	RCFDB520	RCFDB528	RCFDB541	RCFDB542	RCFDB543	RCFDB546	RCFDB547	RCFDB548	RCFDB581	RCFDB582	RCFDB583	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDB600	RCFDB601	RCFDB602	RCFDB603	RCFDB604	RCFDB605	RCFDB606	RCFDB607	RCFDB608	RCFDB609	RCFDB610	RCFDB611	RCFDB612	RCFDB617	RCFDB618	RCFDB619	RCFDB620	RCFDB621	RCFDB622	RCFDB623	RCFDB624	RCFDB625	RCFDB626	RCFDB627	RCFDB628	RCFDB629	RCFDB630	RCFDB631	RCFDB639	RCFDB640	RCFDB641	RCFDB642	RCFDB643	RCFDB644	RCFDB650	RCFDB651	RCFDB652	RCFDB653	RCFDB654	RCFDB655	RCFDB656	RCFDB657	RCFDB658	RCFDB659	RCFDB660	RCFDB661	RCFDB662	RCFDB663	RCFDB664	RCFDB665	RCFDB666	RCFDB667	RCFDB668	RCFDB669	RCFDB670	RCFDB671	RCFDB672	RCFDB673	RCFDB675	RCFDB676	RCFDB677	RCFDB678	RCFDB679	RCFDB680	RCFDB681	RCFDB682	RCFDB683	RCFDB684	RCFDB685	RCFDB686	RCFDB687	RCFDB688	RCFDB689	RCFDB690	RCFDB691	RCFDB693	RCFDB694	RCFDB695	RCFDB696	RCFDB697	RCFDB698	RCFDB699	RCFDB700	RCFDB701	RCFDB702	RCFDB703	RCFDB704	RCFDC063	RCFDC064	RCFDC225	RCFDC227	RCFDC228	RCFDC869	RCFDF264	RCFDG591	RCFDG592	RCFDG593	RCFDG594	RCFDG595	RCFDG596	RCFDG597	RCFDG598	RCFDG599	RCFDG600	RCFDG601	RCFDG602	RCFDL136	RCFDL137	RCFDL138	RCON0010	RCON1651	RCON1754	RCON1773	RCON2170	RCON2221	RCON3123	RCON3128	RCON3210	RCON3411	RCON3429	RCON3433	RCON3545	RCON3792	RCON3809	RCON3812	RCON3821	RCON3833	RCON4336	RCON5306	RCON5310	RCON5311	RCON5320	RCON5327	RCON5334	RCON5339	RCON5340	RCON5369	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCON8764	RCON8766	RCON8767	RCON8769	RCON8770	RCON8771	RCON8772	RCON8773	RCON8774	RCON8775	RCON8776	
322757																																																																																																																																																																																																7203	0	0	7291	35943	0	432	0	3723	0	0	0	0	3964	0	0	0	0	0	0	247	247	5746	9840	6446	1585	14335	0	0	0.1062	0.2032	0.1906	0.0000	0.0000	0.0000	3717	247	6	0	0	0	0	0	0	0	0	0	0	0	
322850																																																																																																																																																																																																3294	0	0	22816	93945	0	425	0	9299	0	0	0	0	10207	0	0	0	1624	0	0	425	425	16540	22463	10011	4058	45839	0	0	0.1009	0.1818	0.1742	0.0000	0.0000	0.0000	9782	425	-483	0	0	0	0	0	0	0	0	0	0	0	
323204																																																																																																																																																																																																23170	0	31299	140230	732384	0	7132	0	57211	0	0	0	0	66752	0	0	189	51706	-982	0	6506	6506	28372	197515	184628	37381	331890	1930	0	0.083780	0.128251	0.115751	0	0	0	60246	6506	-2054	0	0	0	0	0	0	0	0	0	0	0	
323651																																																																																																																																																																																																	0	25049	34362	213542	0	2108	0	25580	0	0	0	0	27912	0	0	0	702	0	0	1632	1632	9786	73362	37379	7956	96183	0	0	0.122924	0.214619	0.202070	0	0	0	26280	1632	-700	0	0	0	0	0	0	0	0	0	0	0	
323718																																																																																																																																																																																																40750	0	5537	39310	302171	0	6317	0	50190	3095	0	0	0	52590	0	0	0	0	0	0	2543	2543	34571	59074	47371	26058	167298	249	0	0.1637	0.2635	0.2508	0.0000	0.0000	0.0000	50047	2543	111	0	0	0	0	0	0	0	0	0	0	0	
324153																																																																																																																																																																																																	0	0	68890	165686	0	1652	0	15781	0	0	0	0	17428	0	0	0	3757	0	0	1070	1070	26466	59325	22148	4009	60272	0	0	0.097163	0.204951	0.192368	0	0	0	16358	1070	-577	0	0	0	0	0	0	0	0	0	0	0	
324229																																																																																																																																																																																																2199	0	0	19516	45189	0	183	0	3935	0	0	0	0	5066	0	0	0	1225	0	0	183	183	1103	23808	13133	1653	8777	0	0	0.1051	0.2445	0.2357	0.0000	0.0000	0.0000	4883	183	-948	0	0	0	0	0	0	0	0	0	0	0	
324256																																																																																																																																																																																																5401	0	24789	0	56424	0	236	0	4005	0	0	0	0	4241	0	0	0	0	0	0	236	236	303	29763	3573	1518	23021	0	0	0.074034	0.137869	0.130197	0	0	0	4005	236	0	0	0	0	0	0	0	0	0	0	0	0	
324274																																																																																																																																																																																																10296	0	169685	133863	411721	0	923	0	67285	0	0	0	0	64329	0	0	0	0	-1154	0	923	923	55973	262569	73005	17840	19878	0	3638	0.1548	0.5908	0.5823	0.0000	0.0000	0.0000	63406	923	1395	0	0	0	0	0	0	0	0	0	0	0	
324340																																																																																																																																																																																																20479	0	0	135398	513928	0	4735	0	60354	0	0	0	0	49340	0	0	708	10727	0	0	4387	4387	26209	95483	111227	25936	270519	931	0	0.092805	0.140730	0.128967	0	0	0	45216	4387	134	0	0	0	0	0	0	0	0	0	0	0	
324649																																																																																																																																																																																																92203	0	877	121951	681901	0	8913	0	120063	0	0	0	0	79892	0	0	0	5500	0	0	5194	5194	70663	148162	87014	27697	339600	0	0	0.1162	0.1940	0.1814	0.0000	0.0000	0.0000	74698	5194	19	0	0	0	0	0	0	0	0	0	0	0	
324854																																																																																																																																																																																																7380	0	0	78418	145053	0	1054	0	14746	0	0	0	0	15000	0	0	0	554	0	0	835	835	8490	84094	6130	8574	46678	0	0	0.1014	0.2252	0.2126	0.0000	0.0000	0.0000	14165	835	200	0	0	0	0	0	0	0	0	0	0	0	
324863																																																																																																																																																																																																182873	0	92252	106694	962534	0	7609	0	139631	0	0	0	0	146940	0	0	0	6204	0	0	7380	7380	152602	275858	23103	33254	518463	0	0	0.1464	0.2488	0.2363	0.0000	0.0000	0.0000	139560	7380	71	0	0	0	0	0	0	0	0	0	0	0	
324975																																																																																																																																																																																																6652	0	3345	37247	101316	0	454	0	11719	300	0	0	0	12277	0	0	0	0	0	0	454	454	19906	27761	32695	3138	21586	0	0	0.117238	0.266295	0.256448	0.000000	0.000000	0.000000	11823	454	-112	0	0	0	0	0	0	0	0	0	0	0	
325141																																																																																																																																																																																																4627	0	75702	403	187373	0	1582	0	38841	0	0	0	0	38465	0	0	0	0	0	0	1261	1261	17265	52075	55811	24711	62167	0	0	0.1998	0.3824	0.3699	0.0000	0.0000	0.0000	37204	1261	-51	0	0	0	0	0	0	0	0	0	0	0	
325459																																																																																																																																																																																																191	0	0	8673	22790	0	429	0	4428	0	0	0	0	4667	0	0	0	262	0	0	169	169	1657	9033	2072	338	10584	0	0	0.2012	0.3510	0.3382	0.0000	0.0000	0.0000	4498	169	-85	0	0	0	0	0	0	0	0	0	0	0	
325534																																																																																																																																																																																																3350	0	0	79764	206038	0	1624	0	21973	0	0	0	0	22768	571	0	208	0	0	0	1529	1529	14946	67134	32159	11677	92689	686	0	0.1013	0.1802	0.1681	0.0000	0.0000	0.0000	21239	1529	734	0	0	0	0	0	0	0	0	0	0	0	
325824																																																																																																																																																																																																4835	0	0	21120	90734	0	726	0	11515	0	0	0	0	12170	0	0	0	568	0	0	622	622	2590	21254	44367	2735	23298	0	0	0.1260	0.2445	0.2320	0.0000	0.0000	0.0000	11548	622	-33	0	0	0	0	0	0	0	0	0	0	0	
326054																																																																																																																																																																																																	0	395	73188	242894	0	2447	0	26049	0	0	0	0	28254	0	0	0	8000	0	0	1867	1867	23027	76300	34669	7708	111897	0	0	0.108224	0.189917	0.177368	0	0	0	26387	1867	-338	0	0	0	0	0	0	0	0	0	0	0	
326344																																																																																																																																																																																																4796	0	8778	102790	349628	0	1696	0	32632	0	0	0	0	32296	0	0	1474	10832	0	0	1696	1696	16912	97136	30721	11969	204105	0	0	0.089084	0.130661	0.123799	0.000000	0.000000	0.000000	30600	1696	570	0	0	0	0	0	0	0	0	0	0	0	
326858																																																																																																																																																																																																102996	0	7846	217528	1045519	0	18684	0	137467	0	0	0	0	144148	0	0	0	38388	0	0	8998	8998	60900	261075	203971	39190	534519	1068	0	0.1316	0.2032	0.1906	0	0	0	135150	8998	2317	0	0	937	0	0	0	0	0	0	0	0	
326979																																																																																																																																																																																																14947	0	1105	85877	333119	0	1973	0	37134	455	0	0	0	39407	316	0	0	14343	0	0	1973	1973	17857	87674	97676	17755	132346	174	0	0.1131	0.1913	0.1817	0.0000	0.0000	0.0000	37434	1973	-300	0	0	0	0	0	0	0	0	0	0	0	
327220																																																																																																																																																																																																9613	0	7722	9808	94781	0	849	0	9520	0	0	0	0	10522	140	0	0	5327	0	0	716	716	8072	21025	34090	3831	32877	0	0	0.102856	0.184251	0.171713	0	0	0	9806	716	-286	0	0	0	0	0	0	0	0	0	0	0	
327305																																																																																																																																																																																																13694	0	22	55086	644934	0	6097	0	59849	0	0	0	0	61464	0	0	0	0	0	0	6118	6118	16698	76566	163115	28649	390373	0	0	0.0889	0.1254	0.1129	0	0	0	55346	6118	-509	0	0	0	0	0	0	0	0	0	0	0	
327435																																																																																																																																																																																																42348	0	0	66689	398214	0	6156	0	41362	0	0	0	0	44476	0	0	389	8548	0	0	3632	3632	26270	83423	63511	23279	231598	0	779	0.102126	0.154401	0.141792	0.000000	0.000000	0.000000	40844	3632	-261	0	0	0	0	0	0	0	0	0	0	0	
327453																																																																																																																																																																																																26619	0	0	145310	439235	0	2965	0	51162	0	0	0	0	46530	799	0	0	0	0	0	2965	2965	29855	146533	56657	25136	201613	245	0	0.102032	0.178701	0.167314	0.000000	0.000000	0.000000	43565	2965	-800	0	0	0	0	0	0	0	0	0	0	0	
327556																																																																																																																																																																																																	0	0	63768	184014	0	1381	0	15865	0	0	0	0	17260	0	0	0	3066	0	0	1381	1381	10130	52250	20158	7654	102871	187	0	0.088752	0.137406	0.126412	0	0	0	15879	1381	-14	0	0	0	0	0	0	0	0	0	0	0	
327855																																																																																																																																																																																																74928	0	0	85728	502076	0	5565	0	60242	0	0	0	0	58042	0	0	5066	15992	0	0	4421	4421	43554	111202	51114	27878	295151	0	0	0.1094	0.1646	0.1521	0.0000	0.0000	0.0000	53621	4421	428	0	0	0	0	0	0	0	0	0	0	0	
327949																																																																																																																																																																																																4982	0	0	50632	390101	0	5090	0	35935	0	0	0	0	38306	1282	0	1228	0	0	0	3032	3032	2396	69802	188951	9726	133474	1282	0	0.0906	0.1593	0.1467	0.0000	0.0000	0.0000	35274	3032	-142	0	0	0	0	0	0	0	0	0	0	0	
328058																																																																																																																																																																																																5205	0	0	15480	40599	0	336	0	6466	130	0	0	0	6626	0	0	0	0	0	0	304	304	1227	15841	5171	1012	18552	0	0	0.1561	0.2727	0.2602	0.0000	0.0000	0.0000	6322	304	144	0	0	0	0	0	0	0	0	0	0	0	
328357																																																																																																																																																																																																15884	0	0	8354	63564	0	496	0	6566	0	0	0	0	6887	0	0	0	181	0	0	467	467	3676	23802	8055	3406	28283	0	0	0.100955	0.184075	0.171594	0.000000	0.000000	0.000000	6420	467	128	0	0	0	0	0	0	0	0	0	0	0	
328423																																																																																																																																																																																																51341	0	0	138098	637708	0	4053	0	69723	747	0	0	0	71729	646	0	0	42199	0	0	4053	4053	54061	162907	125111	37916	297109	0	0	0.1041	0.1735	0.1637	0	0	0	67676	4053	-900	0	0	0	0	0	0	0	0	0	0	0	
328450																																																																																																																																																																																																39600	0	0	13476	204581	0	90	0	25273	0	0	0	0	19897	0	0	0	5553	0	0	90	90	40060	23168	21884	14289	114093	59	0	0.1024	0.1489	0.1482	0.0000	0.0000	0.0000	19807	90	14	0	0	0	0	0	0	0	0	0	0	0	
328656																																																																																																																																																																																																5599	0	0	10389	84235	0	1144	0	9765	0	0	0	0	10428	0	0	0	0	0	0	868	868	920	16883	2671	2992	64700	0	0	0.1148	0.1508	0.1383	0.0000	0.0000	0.0000	9560	868	205	0	0	0	0	0	0	0	0	0	0	0	
328777																																																																																																																																																																																																19851	0	5123	204862	935487	0	11897	0	142592	0	0	0	0	151538	0	0	2289	0	0	0	7689	7689	8839	211664	321268	74098	409430	256	2283	0.154361	0.248046	0.235460	0	0	0	143849	7689	-6937	0	0	0	0	0	0	0	0	0	0	0	
329149																																																																																																																																																																																																4912	0	0	18661	128130	0	1106	0	11120	849	0	0	0	10954	0	0	0	13121	0	0	1106	1106	1859	25861	14186	3753	86084	0	0	0.082593	0.104244	0.093719	0.000000	0.000000	0.000000	9848	1106	-1515	0	0	0	0	0	0	0	0	0	0	0	
329345																																																																																																																																																																																																6642	0	124	37622	261062	0	3522	0	26609	0	0	0	0	28281	0	0	0	376	0	0	2502	2502	3032	30513	75068	13396	155398	0	0	0.099379	0.142018	0.129454	0	0	0	25779	2502	-424	0	0	0	0	0	0	0	0	0	0	0	
329550																																																																																																																																																																																																24566	0	0	64105	301440	0	3368	0	30322	0	0	0	0	27477	0	0	0	12139	0	0	2421	2421	24981	74860	56778	14109	143589	88	6321	0.087813	0.142553	0.129992	0.000000	0.000000	0.000000	25056	2421	-1055	0	0	0	0	0	0	0	0	0	0	0	
329952																																																																																																																																																																																																17983	0	1594	228267	473080	0	1537	0	47103	0	0	0	0	48534	2300	0	317	0	0	0	1681	1681	23866	244994	80366	13604	125012	567	0	0.098666	0.223037	0.215312	0.000000	0.000000	0.000000	46853	1681	250	0	0	0	0	0	0	0	0	0	0	0	
330239																																																																																																																																																																																																15826	0	0	136411	278580	0	1054	0	38575	0	0	0	0	40293	0	0	0	12171	0	0	1059	1059	37203	105155	47865	10886	90119	0	0	0.1419	0.2836	0.2761	0.0000	0.0000	0.0000	39234	1059	-662	0	0	0	0	0	0	0	0	0	0	0	
330248																																																																																																																																																																																																15025	0	0	38295	148357	0	915	0	16271	519	0	0	0	16593	0	0	0	0	0	0	922	922	1433	54438	22697	5450	70104	0	0	0.1052	0.1795	0.1695	0.0000	0.0000	0.0000	15671	922	-406	0	0	0	0	0	0	0	0	0	0	0	
330453																																																																																																																																																																																																8619	0	0	8676	48036	0	240	0	7128	0	0	0	0	7351	0	0	0	341	0	0	240	240	7093	8748	6068	1736	26350	0	0	0.1483	0.2348	0.2272	0.0000	0.0000	0.0000	7111	240	17	0	0	0	0	0	0	0	0	0	0	0	
330855																																																																																																																																																																																																19397	0	0	191089	1022896	5	9510	0	106761	0	0	0	0	116276	0	0	0	76257	0	0	9510	9515	7648	170320	249516	76956	609113	1842	0	0.1044	0.1398	0.1284	0.0000	0.0000	0.0000	106761	9515	-8127	0	4001	0	0	0	0	0	0	0	0	0	
330873																																																																																																																																																																																																1780	0	0	50680	171789	0	731	0	13544	0	0	0	0	14818	0	0	0	46	0	0	731	731	14454	39141	102349	2155	17452	765	0	0.0823	0.1938	0.1842	0.0000	0.0000	0.0000	14087	731	-543	0	0	0	0	0	0	0	0	0	0	0	
330949																																																																																																																																																																																																2625	0	26147	9072	151967	0	1462	0	13419	0	0	0	0	14954	0	0	117	0	0	0	1266	1266	1637	11021	84512	5969	56666	0	0	0.0901	0.1479	0.1354	0.0000	0.0000	0.0000	13688	1266	-269	0	0	0	0	0	0	0	0	0	0	0	
331076																																																																																																																																																																																																10938	0	12726	0	119958	0	1033	0	12974	0	0	0	0	13977	0	0	0	0	0	0	1003	1003	2164	20881	43758	7147	54188	189	0	0.108155	0.174249	0.161744	0	0	0	12974	1003	0	0	0	0	0	0	0	0	0	0	0	0	
331375																																																																																																																																																																																																4993	0	0	19987	192186	0	1880	0	16600	0	0	0	0	18149	0	0	0	0	0	0	1744	1744	3139	18938	72674	7589	99320	0	0	0.0864	0.1303	0.1178	0.0000	0.0000	0.0000	16405	1744	-13	0	0	0	0	0	0	0	0	0	0	0	
331544																																																																																																																																																																																																8780	0	0	49415	103857	0	668	0	20539	0	0	0	0	21745	0	0	58	0	0	0	620	620	15814	41637	13421	3221	34541	0	0	0.2039	0.4388	0.4263	0.0000	0.0000	0.0000	21125	620	-586	0	0	0	0	0	0	0	0	0	0	0	
331553																																																																																																																																																																																																	0	0	25763	40623	0	401	0	3221	0	0	0	0	3630	0	0	6	597	0	0	202	202	11630	16533	1220	1595	11975	0	0	0.085732	0.226918	0.214290	0	0	0	3428	202	-207	0	0	0	0	0	0	0	0	0	0	0	
331713																																																																																																																																																																																																12533	0	0	89713	358568	0	3190	0	40439	0	0	0	0	45165	0	0	780	12250	0	0	2724	2724	1521	79649	180131	17041	103490	0	0	0.1176	0.2077	0.1952	0.0000	0.0000	0.0000	42441	2724	-2002	0	0	0	0	0	0	0	0	0	0	0	
332055																																																																																																																																																																																																15974	0	30534	0	162425	0	1726	0	13611	0	0	0	0	15063	0	0	1783	4077	0	0	1452	1452	11224	35833	49708	2506	67386	0	0	0.0817	0.1300	0.1174	0.0000	0.0000	0.0000	13611	1452	0	0	0	0	0	0	0	0	0	0	0	0	
332224																																																																																																																																																																																																25583	0	0	65919	301300	0	3493	0	34806	0	0	0	0	35573	0	0	0	17175	-1020	0	2663	2663	66361	29392	23289	20228	186403	0	3318	0.1069	0.1677	0.1551	0.0000	0.0000	0.0000	32910	2663	-405	0	0	0	0	0	0	0	0	0	0	0	
332345																																																																																																																																																																																																3918	0	0	2091	18927	0	140	0	1774	0	0	0	0	1891	0	0	0	0	0	0	140	140	0	4322	6295	439	8416	0	0	0.091341	0.152156	0.140892	0	0	0	1751	140	23	0	0	0	0	0	0	0	0	0	0	0	
332402																																																																																																																																																																																																42229	0	0	97853	374027	378	3829	0	35509	50	0	0	0	35023	4935	0	0	0	271	0	2449	2827	60297	66459	131067	23228	117088	1726	2589	0.085686	0.179984	0.165456	0.000000	0.000000	0.000000	32196	2827	219	90	0	0	0	0	0	0	0	0	0	0	
332671																																																																																																																																																																																																10617	0	250	10043	81020	0	1095	0	24100	0	0	0	0	24965	0	0	0	6518	-253	0	705	705	15430	5333	18755	13350	42694	0	0	0.296624	0.445740	0.433152	0	0	0	24260	705	93	0	0	0	0	0	0	0	0	0	0	0	
332756																																																																																																																																																																																																4906	0	0	11910	47348	0	199	0	7612	0	0	0	0	8467	0	0	0	0	0	0	199	199	0	14546	8117	1481	25540	0	0	0.174792	0.259144	0.253053	0.000000	0.000000	0.000000	8268	199	-656	0	0	0	0	0	0	0	0	0	0	0	
333034																																																																																																																																																																																																45006	0	0	15029	205931	0	6263	0	28320	0	0	0	0	29903	0	0	0	0	0	0	1594	1594	30914	37134	48616	4419	95519	0	0	0.137775	0.243423	0.230447	0.000000	0.000000	0.000000	28309	1594	11	0	0	0	0	0	0	0	0	0	0	0	
333052																																																																																																																																																																																																758	0	0	32808	69460	0	411	0	8408	0	0	0	0	8499	0	0	0	722	0	0	411	411	3192	17142	24138	1730	25079	0	0	0.115367	0.207612	0.197572	0.000000	0.000000	0.000000	8088	411	320	0	0	0	0	0	0	0	0	0	0	0	
333203																																																																																																																																																																																																46253	0	11211	34620	584378	124	4647	0	49501	0	0	0	0	50719	0	0	162	19285	590	0	4647	4771	38530	63034	260060	24174	224834	3840	0	0.0796	0.1324	0.1199	0.0000	0.0000	0.0000	45948	4771	-527	0	0	0	0	0	0	0	0	0	0	0	
333650																																																																																																																																																																																																23970	0	0	87022	310603	0	1500	0	31034	0	0	0	0	27282	0	0	0	4205	0	0	1500	1500	5842	112928	20539	7742	167542	0	0	0.0861	0.1326	0.1253	0.0000	0.0000	0.0000	25782	1500	-226	0	0	0	0	0	0	0	0	0	0	0	
333856																																																																																																																																																																																																9187	0	722	24737	131706	0	1178	0	12687	0	0	0	0	13463	0	0	0	908	0	0	1152	1152	1039	36138	27208	4298	68948	0	0	0.0913	0.1462	0.1337	0.0000	0.0000	0.0000	12311	1152	-296	0	0	0	0	0	0	0	0	0	0	0	
333940																																																																																																																																																																																																4134	0	18427	11936	56717	0	189	0	5873	0	0	0	0	6385	0	0	0	0	0	0	193	193	480	17552	22429	1565	17104	0	185	0.1141	0.2006	0.1945	0.0000	0.0000	0.0000	6192	193	-504	0	0	0	0	0	0	0	0	0	0	0	
334264																																																																																																																																																																																																14957	0	0	74394	285649	0	2244	0	23624	771	0	0	0	25269	0	0	0	0	0	0	2232	2232	23884	79752	42896	14160	140991	0	0	0.088954	0.141587	0.129081	0.000000	0.000000	0.000000	23037	2232	-420	0	0	0	0	0	0	0	0	0	0	0	
334648																																																																																																																																																																																																5186	0	0	94257	172525	0	1529	0	16578	0	0	0	0	18564	0	0	544	4411	0	0	1093	1093	3563	101592	11749	9817	58802	0	0	0.1031	0.2133	0.2007	0.0000	0.0000	0.0000	17471	1093	-1139	0	0	0	0	0	0	0	0	0	0	0	
334657																																																																																																																																																																																																10825	0	0	0	72824	0	759	0	6423	639	0	0	0	7080	0	0	0	0	0	0	657	657	9619	8537	9328	2741	46099	0	0	0.0859	0.1349	0.1224	0.0000	0.0000	0.0000	6423	657	0	0	0	0	0	0	0	0	0	0	0	0	
335346																																																																																																																																																																																																32873	0	0	73427	184628	0	2053	0	23918	0	0	0	0	28187	0	0	51	4635	0	0	1151	1151	33502	79567	8981	12461	69355	0	0	0.1394	0.3091	0.2964	0.0000	0.0000	0.0000	27036	1151	-3118	0	0	0	0	0	0	0	0	0	0	0	
335355																																																																																																																																																																																																	0	0	45446	141234	0	1155	0	11898	0	0	0	0	14868	257	0	0	5458	0	0	1155	1155	18144	30009	21181	10705	74870	257	0	0.095947	0.157705	0.145454	0	0	0	13713	1155	-1815	0	0	0	0	0	0	0	0	0	0	0	
335757																																																																																																																																																																																																	0	4500	0	27220	0	85	0	2349	0	0	0	0	2422	0	0	0	0	0	0	73	73	18379	879	4797	494	3250	0	0	0.084100	0.416652	0.404094	0	0	0	2349	73	0	0	0	0	0	0	0	0	0	0	0	0	
336147																																																																																																																																																																																																10743	0	500	24146	99535	0	561	0	11014	0	0	0	0	12474	0	0	79	3054	0	0	561	561	755	38769	21951	2463	39983	0	0	0.1201	0.2062	0.1969	0.0000	0.0000	0.0000	11913	561	-899	0	0	0	0	0	0	0	0	0	0	0	
336361																																																																																																																																																																																																14386	0	22126	7126	112455	0	642	0	14448	0	0	0	0	15083	0	0	170	0	0	0	642	642	8672	35374	21286	3388	47754	0	0	0.1298	0.2301	0.2203	0.0000	0.0000	0.0000	14441	642	7	0	0	0	0	0	0	0	0	0	0	0	
336576																																																																																																																																																																																																3967	0	0	22165	323822	0	3633	0	21595	0	0	0	0	25858	2217	0	301	0	-360	0	2837	2837	1302	31445	149654	26986	145684	1239	0	0.070411	0.114337	0.101792	0.000000	0.000000	0.000000	23021	2837	-1066	12	0	0	0	0	0	0	0	0	0	0	
336950																																																																																																																																																																																																9204	0	2100	0	22633	0	153	0	1974	0	0	0	0	2127	0	0	0	0	0	0	153	153	2100	9204	115	692	11367	0	0	0.0880	0.1603	0.1488	0.0000	0.0000	0.0000	1974	153	0	0	0	0	0	0	0	0	0	0	0	0	
337247																																																																																																																																																																																																1761	0	0	28544	51567	0	309	0	8197	0	0	0	0	8987	0	0	0	0	0	0	309	309	2563	7714	22443	1312	19662	0	0	0.1690	0.2771	0.2676	0.0000	0.0000	0.0000	8678	309	-481	0	0	0	0	0	0	0	0	0	0	0	
337340																																																																																																																																																																																																29256	0	0	6379	124372	0	1204	0	18023	0	0	0	0	10766	0	0	31	9734	0	0	943	943	33846	2385	22135	2362	59010	0	0	0.083835	0.143213	0.130668	0.000000	0.000000	0.000000	9823	943	94	0	0	0	0	0	0	0	0	0	0	0	
338178																																																																																																																																																																																																11957	0	0	40570	196755	716	509	0	20577	0	0	0	0	21229	0	0	0	0	0	0	509	1225	5629	16772	119192	6770	55347	0	0	0.100863	0.179455	0.169100	0.000000	0.000000	0.000000	20004	1225	573	0	0	0	0	0	0	0	0	0	0	0	
338646																																																																																																																																																																																																18891	0	0	48370	186935	4	1630	0	19583	0	0	0	0	18866	0	0	30	7089	0	0	1473	1477	21516	44480	30884	5063	89494	0	0	0.0931	0.1604	0.1478	0.0000	0.0000	0.0000	17389	1477	425	0	0	0	0	0	0	0	0	0	0	0	
338758																																																																																																																																																																																																13065	0	0	167288	340037	0	1922	0	31762	37	0	0	0	34637	0	0	334	10872	0	0	1922	1922	64901	99330	15215	31655	165402	0	1936	0.098631	0.174467	0.164786	0.000000	0.000000	0.000000	32715	1922	-2889	0	0	0	0	0	0	0	0	0	0	0	
338851																																																																																																																																																																																																4567	0	0	11347	68863	0	712	0	8052	0	0	0	0	8701	0	0	0	2662	0	0	552	552	3368	21406	12252	5042	32642	0	0	0.1187	0.1979	0.1854	0.0000	0.0000	0.0000	8149	552	-97	0	0	0	0	0	0	0	0	0	0	0	
338945																																																																																																																																																																																																7744	0	2078	15629	70634	0	390	0	4906	0	0	0	0	5951	0	0	0	1434	0	0	390	390	7042	14401	4905	1534	45331	0	0	0.0783	0.1158	0.1082	0.0000	0.0000	0.0000	5561	390	-655	0	0	0	0	0	0	0	0	0	0	0	
339054																																																																																																																																																																																																5914	0	1729	18293	63878	0	319	0	6631	201	0	0	0	7207	0	0	0	447	0	0	319	319	3649	26450	3538	3503	30817	0	0	0.1059	0.1890	0.1806	0.0000	0.0000	0.0000	6888	319	-257	0	0	0	0	0	0	0	0	0	0	0	
339072																																																																																																																																																																																																180837	0	0	47483	943388	0	13035	0	228479	0	0	0	0	233334	266693	0	0	0	0	0	6095	6095	169645	213608	215560	256391	353877	178479	0	0.241192	0.468780	0.456535	0	0	0	227239	6095	1240	0	0	0	0	0	0	0	0	0	0	0	
339353																																																																																																																																																																																																17941	0	0	13375	66963	0	568	0	9600	0	0	0	0	7680	0	0	0	1336	0	0	482	482	16176	10085	6087	2346	32733	0	0	0.112216	0.196038	0.183735	0	0	0	7198	482	871	0	0	0	0	0	0	0	0	0	0	0	
339456																																																																																																																																																																																																38334	0	0	58055	356642	0	4363	0	28658	0	0	0	0	33790	1556	0	1951	9786	0	0	3040	3040	36142	81604	54926	16408	190425	3222	0	0.0842	0.1397	0.1271	0.0000	0.0000	0.0000	30750	3040	-2092	0	0	0	0	0	0	0	0	0	0	0	
339607																																																																																																																																																																																																8445	0	0	107915	797779	987	4416	0	80680	0	0	0	0	83018	5000	0	1652	13392	-5112	0	4680	5667	16395	101944	407854	31038	268797	0	0	0.098524	0.154284	0.143752	0.000000	0.000000	0.000000	77351	5667	-483	0	5000	0	0	0	0	0	0	0	0	0	
339773																																																																																																																																																																																																12071	0	0	171061	1313717	0	10931	0	219507	2228	0	0	0	226548	0	0	0	0	-1314	0	10931	10931	8992	110369	632769	33337	567070	612	4783	0.1708	0.2498	0.2377	0.0000	0.0000	0.0000	215617	10931	421	0	0	0	0	0	0	0	0	0	0	0	
